Jahr,Land,Einwohner,L채nderanteil,Ausl채nder
2021,Baden-W체rttemberg,11124642,13.4,16.4
2021,Bayern,13176989,15.8,14.1
2021,Berlin,3677472,4.4,20.2
2021,Brandenburg,2537868,3.0,5.5
2021,Bremen,676463,0.8,19.3
2021,Hamburg,1853935,2.2,17.3
2021,Hessen,6295017,7.6,17.1
2021,Mecklenburg-Vorpommern,1611160,1.9,5.0
2021,Niedersachsen,8027031,9.6,10.3
2021,Nordrhein-Westfalen,17924591,21.5,14.2
2021,Rheinland-Pfalz,4106485,4.9,12.2
2021,Saarland,982348,1.2,12.3
2021,Sachsen,4043002,4.9,5.7
2021,Sachsen-Anhalt,2169253,2.6,5.7
2021,Schleswig-Holstein,2922005,3.5,8.9
2021,Th체ringen,2108863,2.5,5.8
2021,Deutschland,83237124,100,13.1